Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
BMET 262 / BMET 332,Biomedical Measurement and Instrumentation II [Sec A] / Biomedical Instrumentation II [Sec A],3.0,E. Prah,MET 101,Friday,7:00 AM - 9:30 AM,200,2,7:00 AM,30,30
BMET 374,Research Methods,3.0,E. Prah,MET 103,Tuesday,2:00 PM - 4:30 PM,300,2,2:00 PM,30,30
BMET 236,Biomedical Equipment Management [Sec A],3.0,E. Prah,MET 101,Wednesday,2:00 PM - 4:30 PM,200,1,2:00 PM,30,30
BMET 132 / BMET 232,Electronic Devices and Circuits II [Sec A] / Electronic Circuits II [Sec A],3.0,E. Prah,MET 101,Thursday,7:00 AM - 9:30 AM,100,1,7:00 AM,30,30
BMET 278 / BMET 174,Biomedical Transducers and Sensors [Sec A],3.0,E. Prah,MET 101,Thursday,10:00 AM - 12:30 PM,200,2,10:00 AM,30,30
PHYS 124,Physics for Biomedical Engineering [Sec A],3.0,J. Asirifi,MET 103,Thursday,2:00 PM - 4:30 PM,100,1,2:00 PM,30,30
BMET 142 / BMET 242,Digital Fundamentals II [Sec A] / Digital Electronics II [Sec A],3.0,J. Asirifi,MET 103,Tuesday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
BMET 436,PACS and Medical Imaging Informatics [Sec A],2.0,J. Asirifi,MET 101,Wednesday,10:00 AM - 12:30 PM,400,2,10:00 AM,30,30
BMET 228 / BMET 412,Medical Imaging Systems II [Sec A] / Medical Imaging II [Sec A],3.0,J. Asirifi,MET 101,Tuesday,2:00 PM - 4:30 PM,200,1,2:00 PM,30,30
BMET 424,Digital Radiography [Sec A],2.0,J. Asirifi,MET 101,Monday,10:00 AM - 12:30 PM,400,1,10:00 AM,30,30
BMET 214,Medical Laboratory Instrumentation [Sec A],3.0,Dr. J. Kutor,MET 103,Friday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
BMET 336,Quantitative Human Physiology [Sec A],2.0,Dr. J. Kutor,MET 103,Thursday,7:00 AM - 9:30 AM,300,1,7:00 AM,30,30
BMET 446,Biofluid Mechanics [Sec A],2.0,Dr. J. Kutor,MET 101,Monday,7:00 AM - 9:30 AM,400,1,7:00 AM,30,30
BMET 346,Transport Phenomena in Biomedical Engineering,2.0,Dr. J. Kutor,MET 103,Monday,10:00 AM - 12:30 PM,300,1,10:00 AM,30,30
MATH 112,Calculus I [Sec A],3.0,Dr. G. Biney,MET 103,Tuesday,10:00 AM - 12:30 PM,100,1,10:00 AM,30,30
MATH 214,Multivariable Calculus [Sec A],3.0,Dr. G. Biney,MET 101,Monday,2:00 PM - 4:30 PM,200,1,2:00 PM,30,30
BIOL 322,Human Anatomy and Physiology II [Sec A],3.0,E. Abindau,MET 103,Wednesday,2:00 PM - 4:30 PM,300,1,2:00 PM,30,30
BIOL 116,Introduction to Human Anatomy and Physiology [Sec A],3.0,E. Abindau,MET 101,Tuesday,7:00 AM - 9:30 AM,100,1,7:00 AM,30,30
BMET 272,Introduction to Engineering Softwares [Sec A],3.0,TBA,MET 103,Thursday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
BSAD 216 / BSAD 316,Business Essentials [Sec A] / Essentials of Business,3.0,TBA,MET 103,Monday,7:00 AM - 9:30 AM,200,1,7:00 AM,30,30
BMET 152,Language and Communication Skills II [Sec A],3.0,A. Oye,MET 103,Wednesday,7:00 AM - 9:30 AM,100,1,7:00 AM,30,30
CHEM 224,Chemistry for Biomedical Engineering [Sec A],3.0,Dr. Daniel Kantanka,MET 103,Wednesday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
COSC 124,Procedural Programming,3.0,E. Okoe,MET 103,Friday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
RELB 385,Introduction to Biblical Foundation of Ethics [Sec A],3.0,Ps. E. Takyi,MET 101,Tuesday,10:00 AM - 12:30 PM,300,1,10:00 AM,30,30
