Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
MATH 112,Calculus I [Sec A],3.0,Dr. G. Biney,CS2,Friday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
MATH 214,Multivariable Calculus [Sec A],3.0,Dr. G. Biney,CS2,Tuesday,2:00 PM - 4:30 PM,200,2,2:00 PM,30,30
COSC 272 / INFT 372,Data Communication & Computer Network II [Sec A] / Network Project Management,3.0,E. Okoe,American High,Wednesday,10:00 AM - 12:30 PM,200,2,10:00 AM,30,30
COSC 124,Procedural Programming [Sec A],3.0,E. Okoe,CS1,Wednesday,2:00 PM - 4:30 PM,100,2,2:00 PM,30,30
COSC 117,Fundamentals of Computing Skills [Sec A],3.0,G. Preprah Tanoah,CS1,Friday,10:00 AM - 12:30 PM,100,2,10:00 AM,30,30
BBIS 260,Web and Social Management Tools [Sec A],3.0,G. Preprah Tanoah,CS2,Monday,2:00 PM - 4:30 PM,200,2,2:00 PM,30,30
STAT 202,Statistical Methods for Health Sciences [HAC Sec A],3.0,O. Osei-Tutu,CS3,Friday,10:00 AM - 12:30 PM,200,2,10:00 AM,30,30
STAT 202,Statistical Methods for Health Sciences [Sec B],3.0,O. Osei-Tutu,CS3,Friday,7:00 AM - 9:30 AM,200,2,7:00 AM,30,30
INFT 480 / BBIS 304,Data Warehousing [Sec A] / Business Intelligence and Dataware Housing [Sec A],3.0,S. Ganu,CS1,Thursday,7:00 AM - 9:30 AM,400,2,7:00 AM,30,30
BBIS 488,Decision Support Systems [Sec A],3.0,S. Ganu,GEN. LAB,Tuesday,10:00 AM - 12:30 PM,400,2,10:00 AM,30,30
INFT 446,Systems and Network Administration [Sec A],3.0,M. Asare,CS2,Wednesday,10:00 AM - 12:30 PM,400,2,10:00 AM,30,30
INFT 420,Computer-Human Interaction [Sec A],3.0,M. Doe,American High,Wednesday,2:00 PM - 4:30 PM,400,2,2:00 PM,30,30
MATH 172,Discrete & Continuous Mathematics [Sec A],3.0,Prof. L. Asiedu,CS1,Monday,7:00 AM - 9:30 AM,100,2,7:00 AM,30,30
BBIS 432,IS Consultancy Practices Solution Develop [Sec A],3.0,Prof. W. Ofoe Larkotey,CS2,Wednesday,7:00 AM - 9:30 AM,400,2,7:00 AM,30,30
INFT 340,Computer Vision: Concepts and Application [Sec A],3.0,S. Sebuabe,CS1,Wednesday,7:00 AM - 9:30 AM,300,2,7:00 AM,30,30
STAT 384,Probability and Statistics [Sec A],3.0,TBA,American High,Thursday,10:00 AM - 12:30 PM,300,2,10:00 AM,30,30
MATH 121,College Algebra [Sec A],3.0,O. Osei-Tutu,Baobab RM1,Thursday,07:00 AM - 09:30 AM,100,2,07:00 AM,30,30
