Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
PSYC 105,Introduction to Psychology [Sec A],3,Akua K. Amponsah,American High,Wednesday,02:00 PM - 04:30 PM,100,2,02:00 PM,30,30
ENGL 112,Language and Writing Skills II [Sec C] (SOE & FASS),2,C. Pokuaa,Baobab RM1,Tuesday,02:00 PM - 04:30 PM,100,1,02:00 PM,30,30
AFST 243,Chieftaincy and Development [Sec A],1,F. Opoku,Baobab RM3,Monday,07:00 AM - 09:30 AM,200,2,07:00 AM,30,30
FREN 121,French for General Communication I [Sec B],2,J. Elorm Doufodji,Baobab RM1,Tuesday,07:00 AM - 09:30 AM,100,1,07:00 AM,30,30
RELB 250,Principles of Christian Faith [Sec B],3,Ps. P. Obeng Manu,Baobab RM3,Wednesday,10:00 AM - 12:30 PM,200,1,10:00 AM,30,30
