Course Code,Course Title,Credit Hrs,Lecturer Name,Room Name,Day,Time,course_level,Semester,start_time,no_of_students,enrollment
COSC 113,Elements of Programming,3,R. Amponsah,BME1,Monday,2:00 PM - 4:30 PM,10000,1,2:00 PM,50,50
BME 101,Health Physics,3,Prah,BME1,Friday,7:00 AM - 9:30 AM,10000,1,7:00 AM,50,50
